instance nr,time,build_time,x,y
instances/ins-1.txt,0.01876180000000005,0.02724839999999995,"[5, 5, 0, 0]","[5, 0, 0, 3]"
instances/ins-2.txt,0.020612400000000086,0.008908899999999997,"[0, 3, 3, 0, 6]","[0, 0, 4, 3, 0]"
instances/ins-3.txt,0.011026000000000202,0.011090700000000009,"[0, 7, 3, 0, 3, 6]","[7, 0, 4, 0, 0, 4]"
instances/ins-4.txt,0.02258820000000017,0.014067300000000005,"[5, 0, 8, 8, 0, 3, 0]","[0, 3, 0, 5, 0, 3, 7]"
instances/ins-5.txt,0.029405899999999985,0.016394199999999914,"[3, 9, 0, 3, 0, 9, 6, 3]","[9, 8, 7, 3, 0, 0, 3, 0]"
instances/ins-6.txt,0.03751890000000002,0.018882099999999902,"[10, 10, 0, 10, 7, 0, 3, 3, 3]","[0, 9, 0, 3, 0, 5, 0, 3, 7]"
instances/ins-7.txt,0.03181199999999995,0.01883530000000011,"[11, 6, 3, 0, 11, 0, 3, 9, 6]","[7, 10, 0, 8, 0, 0, 5, 10, 0]"
instances/ins-8.txt,0.03979240000000006,0.02208880000000013,"[12, 0, 12, 9, 12, 0, 9, 3, 6, 0]","[5, 11, 0, 0, 8, 3, 6, 3, 0, 0]"
instances/ins-9.txt,0.052663499999999974,0.023176600000000214,"[0, 13, 0, 10, 3, 0, 10, 13, 6, 3]","[13, 12, 0, 10, 9, 5, 0, 0, 9, 0]"
instances/ins-10.txt,0.06372489999999997,0.030084299999999953,"[7, 0, 11, 14, 0, 14, 11, 3, 3, 7, 10, 0]","[14, 13, 0, 0, 6, 6, 5, 14, 6, 0, 14, 0]"
instances/ins-11.txt,4.355748999999999,0.050813499999999845,"[7, 7, 0, 0, 0, 15, 15, 7, 3, 3, 3, 3, 10, 10, 10, 10]","[15, 11, 0, 5, 11, 10, 0, 0, 15, 0, 4, 9, 9, 0, 4, 12]"
instances/ins-12.txt,0.14033850000000037,0.03978370000000009,"[10, 10, 10, 3, 10, 0, 13, 13, 0, 3, 16, 6, 6, 6]","[0, 8, 3, 13, 12, 0, 0, 9, 8, 0, 0, 0, 13, 5]"
instances/ins-13.txt,0.21704040000000013,0.04274779999999989,"[7, 10, 17, 10, 17, 17, 4, 10, 4, 7, 13, 0, 0, 13]","[0, 0, 0, 14, 13, 5, 0, 4, 9, 3, 17, 0, 9, 0]"
instances/ins-14.txt,0.43391309999999983,0.04520489999999988,"[15, 5, 18, 18, 12, 5, 5, 18, 12, 15, 8, 8, 8, 0, 0]","[18, 17, 16, 10, 14, 0, 8, 0, 0, 0, 11, 15, 0, 0, 6]"
instances/ins-15.txt,0.2612036999999994,0.05156060000000018,"[3, 3, 19, 3, 16, 10, 3, 0, 16, 0, 19, 10, 13, 6, 6, 16]","[19, 9, 13, 13, 0, 0, 0, 0, 7, 10, 0, 8, 0, 0, 3, 18]"
instances/ins-16.txt,10.086651699999999,0.07013979999999975,"[9, 3, 3, 0, 0, 9, 16, 0, 3, 9, 16, 6, 12, 12, 12, 12, 19, 19, 3]","[8, 14, 18, 17, 0, 0, 0, 7, 3, 11, 9, 3, 10, 13, 17, 0, 12, 0, 0]"
