instance nr,time,solutions,nodes,failures
1,0.13,1,5,0
2,0.15,5,86,21
3,0.16,2,22,2
4,0.19,7,144,19
5,0.2,3,141,78
6,0.22,5,122,14
7,0.22,3,102,33
8,0.25,7,260,44
9,0.25,4,144,42
10,0.32,7,637,147
11,2.12,8,50900,26413
12,0.52,14,4197,1608
13,0.43,11,2204,619
14,0.47,10,2631,708
15,0.67,14,6927,1791
16,21.4,13,257891,138224
17,1.12,14,16782,5792
18,1.14,16,15161,4717
19,34.16,10,397773,195063
20,5.72,10,136881,37646
21,27.1,12,450356,128963
22,1.4,7,-1,-1
23,1.34,15,14034,4718
24,2.29,16,26398,11269
25,19.11,14,283233,75971
26,2.61,18,32786,10317
27,2.72,17,31454,11310
28,23.75,18,237302,115991
29,5.74,19,76249,24159
30,5.8,20,89337,23193
31,2.24,18,30751,10214
32,20.93,22,-1,-1
33,2.95,18,31434,10359
34,2.86,7,69350,24188
35,2.12,23,39708,11997
36,2.87,10,85747,22435
37,86.29,9,-1,-1
38,61.21,23,-1,-1
39,14.82,20,300464,65489
40,271.41,16,-1,-1
